OBJECTID,KC_FAC_FID,KCPARKFID,SITENAME,SITETYPE,OWNER,OWNERTYPE,MANAGER,MANAGETYPE,MAINTD_BY,MAINTTYPE,SHAPE_Length,SHAPE_Area
17,6965,4262201,Cedar Park,Park Site,City of Seattle,City,City of Seattle,City,City of Seattle,City,1282.94172827889,92180.5261485705
18,8211,6242703,Veterans Memorial Field,Park Site,City of Issaquah,City,City of Issaquah,City,City of Issaquah,City,1923.45297168275,185543.383935759
19,7593,4233201,Manhattan Park & Playfield,Park Site,City of Burien,City,City of Burien,City,City of Burien,City,1892.74865556025,179259.198860475
20,2789,4240906,Martin Luther King Memorial Park,Park Site,City of Seattle,City,City of Seattle,City,City of Seattle,City,2500.15563493582,191441.064745415
21,2774,5240201,Lake Hills Greenbelt Park,Park Site,City of Bellevue,City,City of Bellevue,City,City of Bellevue,City,31859.2695167194,7294293.31001747
22,4560,7200601,Fell Hill Park,Park Site,City of Enumclaw,City,City of Enumclaw,City,City of Enumclaw,City,3516.87398192157,601983.078178112
23,6967,4262807,Lake City Memorial Triangle,Park Site,City of Seattle,City,City of Seattle,City,City of Seattle,City,86.529246660885,233.714858903584
24,2287,4250901,Ravenna Park,Park Site,City of Seattle,City,City of Seattle,City,City of Seattle,City,10944.4608127445,2202788.57913525
25,7150,4252909,Eastlake Triangle,Park Site,City of Seattle,City,City of Seattle,City,City of Seattle,City,250.741985594138,3238.58578786388
26,2699,5263201,Juanita Bay Park,Park Site,City of Kirkland,City,City of Kirkland,City,City of Kirkland,City,30608.9039993088,5572267.94395367
27,7224,4250502,Froula Playground,Park Site,City of Seattle,City,City of Seattle,City,City of Seattle,City,2223.772795857,112199.295749086
28,2721,6211002,Lake Sawyer Regional Park,Park Site,City of Black Diamond,City,City of Black Diamond,City,City of Black Diamond,City,19984.5910681514,6228688.34262876
29,8068,2223602,Forest Glen Natural Area,Park Site,King County Parks and Recreation,King County Parks,King County Parks and Recreation,King County Parks,King County Parks and Recreation,King County Parks,1640.2176662291,163631.168031429
30,7186,3241506,Bar-S Playground,Park Site,City of Seattle,City,City of Seattle,City,City of Seattle,City,1800.1149262893,184596.132236684
31,2362,5210701,Dykstra Park,Park Site,City of Auburn,City,City of Auburn,City,City of Auburn,City,1215.65467618403,80847.4535284327
32,2414,3260201,Richmond Beach Saltwater Park,Park Site,City of Shoreline,City,City of Shoreline,City,City of Shoreline,City,11406.8320878696,1746621.49005168
33,7276,5250507,Cedar View Park,Park Site,City of Kirkland,City,City of Kirkland,City,City of Kirkland,City,376.34505430076,7447.66560951186
34,8144,2222503,Lost Lake Natural Area,Park Site,King County Parks and Recreation,King County Parks,King County Parks and Recreation,King County Parks,King County Parks and Recreation,King County Parks,12702.8185955075,2249774.15449701
35,2339,5221701,Turnkey Park,Park Site,City of Kent,City,City of Kent,City,City of Kent,City,2537.38184832437,278900.193920778
36,7035,4253307,Firehouse Mini Park,Park Site,City of Seattle,City,City of Seattle,City,City of Seattle,City,515.997865690367,14506.9015488402
37,7178,4240914,Stevens Place,Park Site,City of Seattle,City,City of Seattle,City,City of Seattle,City,455.353773515945,8069.81257746984
38,3015,6220402,Mouth Of Taylor Reach Natural Area,Park Site,King County Parks and Recreation,King County Parks,King County Parks and Recreation,King County Parks,King County Parks and Recreation,King County Parks,16505.58497011,1463869.27859526
39,2498,4231402,Joseph Foster Memorial Park,Park Site,City of Tukwila,City,City of Tukwila,City,City of Tukwila,City,3577.01249740446,386485.711573298
40,2506,4230901,Hilltop Park,Park Site,City of Burien,City,City of Burien,City,City of Burien,City,2850.15876766529,321258.301833618
